airport,airport_name,municipality,iso_region,iso_country,elevation_ft,latitude_deg,longitude_deg
LIT,"Little Rock, AR: Bill and Hillary Clinton Nat Adams Field",Little Rock,US-AR,US,262.0,34.729400634799994,-92.2242965698
LMT,"Klamath Falls, OR: Crater Lake Klamath Regional",Klamath Falls,US-OR,US,4095.0,42.156101,-121.733002
LNK,"Lincoln, NE: Lincoln Airport",Lincoln,US-NE,US,1219.0,40.85100173950195,-96.75920104980467
LNY,"Lanai, HI: Lanai Airport",Lanai City,US-HI,US,1308.0,20.785600662231445,-156.9510040283203
LRD,"Laredo, TX: Laredo International",Laredo,US-TX,US,508.0,27.543800354003903,-99.46160125732422
LSE,"La Crosse, WI: La Crosse Regional",La Crosse,US-WI,US,655.0,43.879002,-91.256699
LWB,"Lewisburg, WV: Greenbrier Valley",Lewisburg,US-WV,US,2302.0,37.8582992554,-80.3994979858
LWS,"Lewiston, ID: Lewiston Nez Perce County",Lewiston,US-ID,US,1442.0,46.3745002746582,-117.01499938964844
LYH,"Lynchburg, VA: Lynchburg Regional/Preston Glenn Field",Lynchburg,US-VA,US,938.0,37.326698303222656,-79.20040130615234
MAF,"Midland/Odessa, TX: Midland International Air and Space Port",Midland,US-TX,US,2871.0,31.9424991607666,-102.2020034790039
MBS,"Saginaw/Bay City/Midland, MI: MBS International",Saginaw,US-MI,US,668.0,43.532901763916016,-84.07959747314453
MCI,"Kansas City, MO: Kansas City International",Kansas City,US-MO,US,1026.0,39.2976,-94.713898
MCN,"Macon, GA: Middle Georgia Regional",Macon,US-GA,US,354.0,32.69279861450195,-83.64920043945312
MCO,"Orlando, FL: Orlando International",Orlando,US-FL,US,96.0,28.429399490356445,-81.30899810791016
